=== fh1 xex post-import recon ===
program: default.bin
language: PowerPC:BE:32:default
base: 82000000

--- RTTI class names (.?AV...@@) ---
(0 RTTI names dumped)

--- defined strings in .rdata with code xrefs (top 600 by ref count) ---
  refs=2  va=820256c0  'IDS_InputHint_Map_NoBackBtn_R'
  refs=2  va=82023258  'continue'
  refs=2  va=8201f4a8  'PreConditions'
  refs=2  va=8201ef14  'PivotDirection'
  refs=2  va=8201ef0c  'Spring'
  refs=2  va=8201eefc  'Animation'
  refs=2  va=8201eef4  'Start'
  refs=2  va=8201eee4  'Cancel'
  refs=2  va=8201ec7c  'GameStrings'
  refs=2  va=8201e4c0  'Limits'
  refs=2  va=8201e43c  'PostAnimFadeFromColor'
  refs=2  va=8201deb8  'Reward'
  refs=2  va=8201d8c8  'CarID'
  refs=2  va=8201bb38  'Game:\\Media\\Cars\\shared\\ShaderSettings\\Normal.xml;Game:\\Media\\Cars\\shared\\ShaderSettings\\Matte.xml'
